BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,n_luxation,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,first_lux_days_after_thr,DIRECTION,LUX_01,LUX_CR
10.0,0.0,11.4,37.0,1.0,7.0,2012.0,-1.0,4.0,0.0,3.0,4.0,0.0,39.0,12.0,24.2,1.0,-1.0,-1.0,0,0.0
8.0,0.0,22.8,46.2,1.0,5.0,2017.0,-1.0,5.0,1.0,6.0,5.0,1.0,40.0,25.0,14.6,0.0,-1.0,-1.0,0,0.0
10.0,0.0,11.6,29.2,1.0,5.0,2014.0,-1.0,4.0,0.0,3.0,4.0,0.0,44.0,21.0,27.7,0.0,-1.0,-1.0,0,0.0
11.0,1.0,46.0666666666667,20.6,1.0,5.0,2018.0,-1.0,6.0,3.0,2.0,4.0,0.0,47.0,28.0,24.2,2.0,-1.0,-1.0,0,0.0
7.0,0.0,14.1,56.0,1.0,5.323004694835681,2011.0,1.0,4.0,1.0,6.0,4.0,1.0,40.0,15.0,39.5,0.0,1626.0,0.0,1,1.0
7.3498406410217285,0.3570897579193115,26.595659255981445,34.00263977050781,0.8981961011886597,5.158293724060059,2013.1893310546875,1.4802086353302002,4.597779750823975,1.3916900157928467,3.4870166778564453,4.395318031311035,0.37273716926574707,43.25030517578125,19.050640106201172,28.06182289123535,0.3408138155937195,193.8130645751953,0.36561551690101624,1,0.4174831509590149
7.006666660308838,0.3268667459487915,34.2772331237793,35.1276969909668,0.9185245633125305,5.116102695465088,2011.679443359375,1.5056747198104858,4.220821380615234,1.2204433679580688,3.677035093307495,4.469682693481445,0.37732037901878357,44.091434478759766,18.44197654724121,28.624244689941406,0.29407447576522827,173.62525939941406,0.23580309748649597,1,0.3905990719795227
5.0,0.0,11.4333333333333,37.0,1.0,5.0,2005.0,-1.0,3.0,0.0,3.0,5.0,0.0,38.0,30.0,29.5,0.0,-1.0,-1.0,0,0.0
1.0,0.0,9.9,36.0,1.0,5.0,2005.0,-1.0,3.0,0.0,3.0,5.0,0.0,43.0,14.0,39.5,0.0,-1.0,-1.0,0,0.0
12.0,1.0,7.9,30.2,1.0,5.0,2014.0,2.0,4.0,0.0,3.0,4.0,0.0,50.0,22.0,31.3,1.0,31.0,0.0,1,1.0
7.322489261627197,0.3646976053714752,25.487804412841797,34.21653366088867,0.9027650952339172,5.192017555236816,2012.85595703125,1.504521369934082,4.527799129486084,1.315301537513733,3.4686083793640137,4.35978889465332,0.3627799451351166,43.12232971191406,19.29704475402832,27.907320022583008,0.34798571467399597,191.07611083984375,0.36945727467536926,1,0.3792513608932495
1.0,0.0,15.5666666666667,18.2,0.0,5.0,2021.0,-1.0,6.0,2.0,1.0,4.0,0.0,40.0,20.0,20.8,0.0,-1.0,-1.0,0,1.0
